Date,Change %
"Jul 14, 2016",0.17%
"Jul 13, 2016",0.14%
"Jul 12, 2016",-0.37%
"Jul 11, 2016",0.75%
"Jul 08, 2016",0.26%
"Jul 07, 2016",0.76%
"Jul 06, 2016",-1.33%
"Jul 05, 2016",-0.03%
"Jul 04, 2016",0.55%
"Jul 01, 2016",0.26%
"Jun 30, 2016",1.18%
"Jun 29, 2016",2.81%
"Jun 28, 2016",1.57%
"Jun 27, 2016",-0.91%
"Jun 24, 2016",-3.72%
"Jun 23, 2016",1.28%
"Jun 22, 2016",0.66%
"Jun 21, 2016",1.30%
"Jun 20, 2016",2.42%
"Jun 17, 2016",0.12%
"Jun 16, 2016",0.28%
"Jun 15, 2016",1.26%
"Jun 14, 2016",-1.67%
"Jun 13, 2016",-1.22%
"Jun 10, 2016",-2.07%
"Jun 09, 2016",-1.04%
"Jun 08, 2016",-0.12%
"Jun 07, 2016",0.42%
"Jun 06, 2016",0.00%
"Jun 03, 2016",0.21%
"Jun 02, 2016",-0.30%
"Jun 01, 2016",-0.38%
"May 31, 2016",0.87%
"May 30, 2016",0.33%
"May 27, 2016",0.69%
"May 26, 2016",0.58%
"May 25, 2016",0.37%
"May 24, 2016",2.56%
"May 23, 2016",-0.34%
"May 20, 2016",1.55%
"May 19, 2016",-1.03%
"May 18, 2016",1.20%
"May 17, 2016",-0.69%
"May 16, 2016",-0.31%
"May 13, 2016",0.79%
"May 12, 2016",-0.57%
"May 11, 2016",-1.00%
"May 10, 2016",0.28%
"May 09, 2016",1.65%
"May 06, 2016",-0.57%
"May 05, 2016",0.86%
"May 04, 2016",-0.32%
"May 03, 2016",-0.50%
"May 02, 2016",0.09%
"Apr 29, 2016",-4.46%
"Apr 28, 2016",0.64%
"Apr 27, 2016",1.20%
"Apr 26, 2016",-0.40%
"Apr 25, 2016",0.03%
"Apr 22, 2016",-1.03%
"Apr 21, 2016",-1.75%
"Apr 20, 2016",-0.24%
"Apr 19, 2016",5.02%
"Apr 18, 2016",1.13%
"Apr 15, 2016",-0.60%
"Apr 14, 2016",1.24%
"Apr 13, 2016",2.04%
"Apr 12, 2016",0.36%
"Apr 11, 2016",-0.48%
"Apr 08, 2016",-0.29%
"Apr 07, 2016",-0.64%
"Apr 06, 2016",1.26%
"Apr 05, 2016",-0.90%
"Apr 04, 2016",0.58%
"Apr 01, 2016",-1.75%
"Mar 31, 2016",-2.02%
"Mar 30, 2016",1.97%
"Mar 29, 2016",0.57%
"Mar 24, 2016",-0.82%
"Mar 23, 2016",2.23%
"Mar 22, 2016",-1.18%
"Mar 21, 2016",-1.67%
"Mar 18, 2016",2.32%
"Mar 17, 2016",-0.03%
"Mar 16, 2016",-1.36%
"Mar 15, 2016",-0.16%
"Mar 14, 2016",1.06%
"Mar 11, 2016",1.79%
"Mar 10, 2016",-2.26%
"Mar 09, 2016",1.45%
"Mar 08, 2016",0.58%
"Mar 07, 2016",-1.16%
"Mar 04, 2016",1.63%
"Mar 03, 2016",-1.64%
"Mar 02, 2016",-2.01%
"Mar 01, 2016",1.89%
"Feb 29, 2016",-0.41%
"Feb 26, 2016",-0.13%
"Feb 25, 2016",1.69%
"Feb 24, 2016",-1.50%
"Feb 23, 2016",-0.32%
"Feb 22, 2016",1.58%
"Feb 19, 2016",0.72%
"Feb 18, 2016",-0.97%
"Feb 17, 2016",0.45%
"Feb 16, 2016",0.46%
"Feb 15, 2016",2.33%
"Feb 12, 2016",2.35%
"Feb 11, 2016",-2.85%
"Feb 10, 2016",2.06%
"Feb 09, 2016",-1.40%
"Feb 08, 2016",-2.06%
"Feb 05, 2016",-0.52%
"Feb 04, 2016",-0.06%
"Feb 03, 2016",-1.47%
"Feb 02, 2016",-0.67%
"Feb 01, 2016",-0.06%
"Jan 29, 2016",3.11%
"Jan 28, 2016",-0.94%
"Jan 27, 2016",1.11%
"Jan 26, 2016",0.30%
"Jan 25, 2016",1.06%
"Jan 22, 2016",2.98%
"Jan 21, 2016",1.28%
"Jan 20, 2016",-3.28%
"Jan 19, 2016",1.98%
"Jan 18, 2016",0.34%
"Jan 15, 2016",-1.39%
"Jan 14, 2016",-2.09%
"Jan 13, 2016",0.53%
"Jan 12, 2016",1.14%
"Jan 11, 2016",-0.74%
"Jan 08, 2016",-0.83%
"Jan 07, 2016",-0.30%
"Jan 06, 2016",-0.13%
"Jan 05, 2016",0.40%
"Jan 04, 2016",-2.83%
"Dec 31, 2015",-1.30%
"Dec 30, 2015",-0.51%
"Dec 29, 2015",2.16%
"Dec 28, 2015",-1.21%
"Dec 24, 2015",-0.25%
"Dec 23, 2015",2.05%
"Dec 22, 2015",-0.74%
"Dec 21, 2015",-1.68%
"Dec 18, 2015",-1.93%
"Dec 17, 2015",1.84%
"Dec 16, 2015",-0.28%
"Dec 15, 2015",4.21%
"Dec 14, 2015",-1.59%
"Dec 11, 2015",-1.25%
"Dec 10, 2015",-0.67%
"Dec 09, 2015",-1.50%
"Dec 08, 2015",-2.05%
"Dec 07, 2015",2.48%
"Dec 04, 2015",-1.27%
"Dec 03, 2015",-4.30%
"Dec 02, 2015",0.90%
"Dec 01, 2015",-0.33%
"Nov 30, 2015",-0.68%
"Nov 27, 2015",-0.18%
"Nov 26, 2015",0.30%
"Nov 25, 2015",2.21%
"Nov 24, 2015",-2.11%
"Nov 23, 2015",-0.18%
"Nov 20, 2015",0.75%
"Nov 19, 2015",-0.27%
"Nov 18, 2015",-1.67%
"Nov 17, 2015",2.80%
"Nov 16, 2015",0.15%
"Nov 13, 2015",-1.13%
"Nov 12, 2015",-1.21%
"Nov 11, 2015",2.85%
"Nov 10, 2015",0.27%
"Nov 09, 2015",-1.38%
"Nov 06, 2015",-1.12%
"Nov 05, 2015",1.69%
"Nov 04, 2015",0.30%
"Nov 03, 2015",0.27%
"Nov 02, 2015",-0.54%
"Oct 30, 2015",-4.57%
"Oct 29, 2015",1.34%
"Oct 28, 2015",0.35%
"Oct 27, 2015",0.06%
"Oct 26, 2015",-1.50%
"Oct 23, 2015",1.52%
"Oct 22, 2015",3.23%
"Oct 21, 2015",-1.13%
"Oct 20, 2015",-0.50%
"Oct 19, 2015",1.42%
"Oct 16, 2015",-0.51%
"Oct 15, 2015",1.68%
"Oct 14, 2015",0.03%
"Oct 13, 2015",-0.64%
"Oct 12, 2015",0.70%
"Oct 09, 2015",1.20%
"Oct 08, 2015",0.68%
"Oct 07, 2015",0.16%
"Oct 06, 2015",0.25%
"Oct 05, 2015",3.05%
"Oct 02, 2015",1.83%
"Oct 01, 2015",-1.48%
"Sep 30, 2015",4.20%
"Sep 29, 2015",-0.63%
"Sep 28, 2015",-1.42%
"Sep 25, 2015",5.56%
"Sep 24, 2015",-1.07%
"Sep 23, 2015",-0.07%
"Sep 22, 2015",-3.10%
"Sep 21, 2015",2.35%
"Sep 18, 2015",-2.49%
"Sep 17, 2015",-0.07%
"Sep 16, 2015",2.62%
"Sep 15, 2015",1.95%
"Sep 14, 2015",-0.93%
"Sep 11, 2015",-0.38%
"Sep 10, 2015",-1.85%
"Sep 09, 2015",1.16%
"Sep 08, 2015",-0.20%
"Sep 07, 2015",0.99%
"Sep 04, 2015",-3.41%
"Sep 03, 2015",0.17%
"Sep 02, 2015",0.60%
"Sep 01, 2015",-1.93%
"Aug 31, 2015",-0.07%
"Aug 28, 2015",0.00%
"Aug 27, 2015",2.93%
"Aug 26, 2015",-2.85%
"Aug 25, 2015",4.41%
"Aug 24, 2015",-5.09%
"Aug 21, 2015",-2.84%
"Aug 20, 2015",-2.13%
"Aug 19, 2015",-2.02%
"Aug 18, 2015",-0.66%
"Aug 17, 2015",0.21%
"Aug 14, 2015",-0.98%
"Aug 13, 2015",2.00%
"Aug 12, 2015",-5.21%
"Aug 11, 2015",-2.47%
"Aug 10, 2015",0.62%
"Aug 07, 2015",-0.67%
"Aug 06, 2015",0.08%
"Aug 05, 2015",1.45%
"Aug 04, 2015",0.49%
"Aug 03, 2015",2.49%
"Jul 31, 2015",0.00%
"Jul 30, 2015",0.26%
"Jul 29, 2015",1.28%
"Jul 28, 2015",0.96%
"Jul 27, 2015",-1.92%
"Jul 24, 2015",0.21%
"Jul 23, 2015",0.09%
"Jul 22, 2015",-0.73%
"Jul 21, 2015",-1.33%
"Jul 20, 2015",1.23%
"Jul 17, 2015",-0.41%
"Jul 16, 2015",0.85%
"Jul 15, 2015",0.41%
"Jul 14, 2015",1.38%
"Jul 13, 2015",1.18%
"Jul 10, 2015",3.07%
"Jul 09, 2015",2.67%
"Jul 08, 2015",1.07%
"Jul 07, 2015",-1.25%
"Jul 06, 2015",-1.55%
"Jul 03, 2015",-0.63%
"Jul 02, 2015",-0.93%
"Jul 01, 2015",0.53%
"Jun 30, 2015",-1.20%
"Jun 29, 2015",-3.97%
"Jun 26, 2015",0.72%
"Jun 25, 2015",-0.92%
"Jun 24, 2015",-0.41%
"Jun 23, 2015",0.89%
"Jun 22, 2015",3.96%
"Jun 19, 2015",-1.19%
"Jun 18, 2015",0.86%
"Jun 17, 2015",-1.58%
"Jun 16, 2015",1.07%
"Jun 15, 2015",-1.48%
"Jun 12, 2015",-1.84%
"Jun 11, 2015",0.57%
"Jun 10, 2015",1.88%
"Jun 09, 2015",-0.69%
"Jun 08, 2015",-0.48%
"Jun 05, 2015",-1.97%
"Jun 04, 2015",-0.32%
"Jun 03, 2015",0.53%
"Jun 02, 2015",-2.28%
"Jun 01, 2015",0.96%
"May 29, 2015",-2.58%
"May 28, 2015",-0.65%
"May 27, 2015",2.33%
"May 26, 2015",-0.34%
"May 25, 2015",-0.34%
"May 22, 2015",-0.06%
"May 21, 2015",-0.06%
"May 20, 2015",0.11%
"May 19, 2015",2.94%
"May 18, 2015",0.83%
"May 15, 2015",-1.03%
"May 14, 2015",2.35%
"May 13, 2015",-1.19%
"May 12, 2015",-1.12%
"May 11, 2015",-1.90%
"May 08, 2015",2.88%
"May 07, 2015",0.51%
"May 06, 2015",0.63%
"May 05, 2015",-3.84%
"May 04, 2015",1.70%
"Apr 30, 2015",0.74%
"Apr 29, 2015",-2.76%
"Apr 28, 2015",-2.93%
"Apr 27, 2015",1.99%
"Apr 24, 2015",0.43%
"Apr 23, 2015",-1.19%
"Apr 22, 2015",-0.59%
"Apr 21, 2015",0.54%
"Apr 20, 2015",0.51%
"Apr 17, 2015",-1.37%
"Apr 16, 2015",0.36%
"Apr 15, 2015",0.28%
"Apr 14, 2015",-0.59%
"Apr 13, 2015",-0.17%
"Apr 10, 2015",1.71%
"Apr 09, 2015",1.09%
"Apr 08, 2015",-0.63%
"Apr 07, 2015",1.42%
"Apr 02, 2015",0.82%
"Apr 01, 2015",-0.03%
"Mar 31, 2015",-0.70%
"Mar 30, 2015",0.23%
"Mar 27, 2015",1.86%
"Mar 26, 2015",0.03%
"Mar 25, 2015",-1.43%
"Mar 24, 2015",0.15%
"Mar 23, 2015",-0.55%
"Mar 20, 2015",1.09%
"Mar 19, 2015",-0.41%
"Mar 18, 2015",-0.90%
"Mar 17, 2015",-0.46%
"Mar 16, 2015",0.90%
"Mar 13, 2015",1.60%
"Mar 12, 2015",-0.38%
"Mar 11, 2015",2.97%
"Mar 10, 2015",-0.30%
"Mar 09, 2015",-0.18%
"Mar 06, 2015",0.52%
"Mar 05, 2015",0.89%
"Mar 04, 2015",1.37%
"Mar 03, 2015",-0.62%
"Mar 02, 2015",-0.09%
"Feb 27, 2015",0.65%
"Feb 26, 2015",1.10%
"Feb 25, 2015",0.09%
"Feb 24, 2015",0.35%
"Feb 23, 2015",0.73%
"Feb 20, 2015",0.32%
"Feb 19, 2015",1.06%
"Feb 18, 2015",0.03%
"Feb 17, 2015",0.58%
"Feb 16, 2015",-0.99%
"Feb 13, 2015",-1.17%
"Feb 12, 2015",-0.32%
"Feb 11, 2015",0.54%
"Feb 10, 2015",1.03%
"Feb 09, 2015",-1.05%
"Feb 06, 2015",-0.25%
"Feb 05, 2015",0.03%
"Feb 04, 2015",1.41%
"Feb 03, 2015",-1.24%
"Feb 02, 2015",-0.85%
"Jan 30, 2015",-0.72%
"Jan 29, 2015",2.04%
"Jan 28, 2015",0.45%
"Jan 27, 2015",-1.48%
"Jan 26, 2015",1.93%
"Jan 23, 2015",3.59%
"Jan 22, 2015",0.30%
"Jan 21, 2015",0.74%
"Jan 20, 2015",1.33%
"Jan 19, 2015",0.07%
"Jan 16, 2015",0.38%
"Jan 15, 2015",3.18%
"Jan 14, 2015",-0.74%
"Jan 13, 2015",1.24%
"Jan 12, 2015",2.25%
"Jan 09, 2015",-1.43%
"Jan 08, 2015",3.63%
"Jan 07, 2015",0.56%
"Jan 06, 2015",0.00%
"Jan 05, 2015",-2.37%
"Jan 02, 2015",-1.36%
